Time,Initial_ratio_Triple,Treatment,Replicate,Ratio_startcycle,Triple,G238S,Ratio,CTX,Unique_code
96,0.5,2,1,0.118815569,,,,12.5,0.5_12.5_T96_Repl1
96,0.5,2,2,0.105942674,,,,12.5,0.5_12.5_T96_Repl2
96,0.5,2,3,0.126919715,,,,12.5,0.5_12.5_T96_Repl3
96,0.5,2,4,0.149497723,,,,12.5,0.5_12.5_T96_Repl4
96,0.5,2,5,0.154641101,,,,12.5,0.5_12.5_T96_Repl5
96,0.5,2,6,0.139492644,,,,12.5,0.5_12.5_T96_Repl6
96,0.5,2,7,0.127878491,1.59E+07,2.86E+08,0.052659434,12.5,0.5_12.5_T96_Repl7
96,0.5,2,8,0.141000444,1.63E+07,2.93E+08,0.052805281,12.5,0.5_12.5_T96_Repl8
96,0.9,0.2,1,0.263007575,2.72E+07,2.72E+08,0.090872591,12.5,0.9_12.5_T96_Repl1
96,0.9,0.2,2,0.393379082,2.36E+06,1.04E+07,0.184274225,12.5,0.9_12.5_T96_Repl2
96,0.9,0.2,3,0.267150928,2.69E+07,2.83E+08,0.086606049,12.5,0.9_12.5_T96_Repl3
96,0.9,0.2,4,0.504711501,7.56E+07,1.93E+08,0.28192322,12.5,0.9_12.5_T96_Repl4
96,0.9,0.2,5,0.260457677,3.31E+07,2.74E+08,0.107754411,12.5,0.9_12.5_T96_Repl5
96,0.9,0.2,6,0.511650237,6.02E+07,2.30E+08,0.207486041,12.5,0.9_12.5_T96_Repl6
96,0.9,0.2,7,0.318707419,3.74E+07,2.67E+08,0.122914203,12.5,0.9_12.5_T96_Repl7
96,0.9,0.2,8,0.397697711,5.19E+07,2.42E+08,0.176827192,12.5,0.9_12.5_T96_Repl8
96,0.9,0.43,1,0.383791755,4.67E+07,2.42E+08,0.161692404,12.5,0.9_12.5_T96_Repl1
96,0.9,0.43,2,0.414927261,5.86E+07,2.05E+08,0.222509309,12.5,0.9_12.5_T96_Repl2
96,0.9,0.43,3,0.340830775,4.83E+07,2.33E+08,0.171637551,12.5,0.9_12.5_T96_Repl3
96,0.9,0.43,4,0.313838088,3.29E+07,2.41E+08,0.120260101,12.5,0.9_12.5_T96_Repl4
96,0.9,0.43,5,0.40702045,6.00E+07,2.11E+08,0.22165558,12.5,0.9_12.5_T96_Repl5
96,0.9,0.43,6,0.314259819,4.29E+07,2.51E+08,0.146124005,12.5,0.9_12.5_T96_Repl6
96,0.9,0.43,7,0.410170773,6.50E+07,2.09E+08,0.237205227,12.5,0.9_12.5_T96_Repl7
96,0.9,0.43,8,0.30028293,3.88E+07,2.60E+08,0.129768438,12.5,0.9_12.5_T96_Repl8
96,0.9,0.93,1,0.56026611,6.78E+07,2.12E+08,0.242337644,12.5,0.9_12.5_T96_Repl1
96,0.9,0.93,2,0.594489938,9.06E+07,1.95E+08,0.316742398,12.5,0.9_12.5_T96_Repl2
96,0.9,0.93,3,0.471689673,5.39E+07,2.28E+08,0.191311138,12.5,0.9_12.5_T96_Repl3
96,0.9,0.93,4,0.513195916,6.63E+07,2.14E+08,0.236283312,12.5,0.9_12.5_T96_Repl4
96,0.9,0.93,5,0.595217062,9.06E+07,1.82E+08,0.332258065,12.5,0.9_12.5_T96_Repl5
96,0.9,0.93,6,0.625798212,9.61E+07,1.73E+08,0.357360708,12.5,0.9_12.5_T96_Repl6
96,0.9,0.93,7,0.456830184,6.01E+07,2.25E+08,0.210648148,12.5,0.9_12.5_T96_Repl7
96,0.9,0.93,8,0.621402591,9.35E+07,1.78E+08,0.344817411,12.5,0.9_12.5_T96_Repl8
96,0.9,2,1,0.646178968,1.00E+08,1.75E+08,0.364528083,12.5,0.9_12.5_T96_Repl1
96,0.9,2,2,0.657011998,1.09E+08,1.64E+08,0.39843407,12.5,0.9_12.5_T96_Repl2
96,0.9,2,3,0.63771022,1.04E+08,1.71E+08,0.379729336,12.5,0.9_12.5_T96_Repl3
96,0.9,2,4,0.506978547,6.35E+07,2.21E+08,0.223268893,12.5,0.9_12.5_T96_Repl4
96,0.9,2,5,0.690374976,1.26E+08,1.39E+08,0.475596857,12.5,0.9_12.5_T96_Repl5
96,0.9,2,6,0.69919852,1.26E+08,1.35E+08,0.482636755,12.5,0.9_12.5_T96_Repl6
96,0.9,2,7,0.643044956,1.06E+08,1.55E+08,0.407146143,12.5,0.9_12.5_T96_Repl7
